,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($),League
0,2017-2018,1,Manchester City,32,26.4,71.0,38,32,4,2,106,27,79,100,2.63,78.6,23.8,54.8,1.44,54070,184103578.0,EPL
1,2017-2018,2,Manchester Utd,35,26.7,54.7,38,25,6,7,68,28,40,81,2.13,55.7,40.7,15.0,0.4,74976,201934520.0,EPL
2,2017-2018,3,Tottenham,34,25.8,61.8,38,23,8,7,74,36,38,77,2.03,64.7,33.9,30.8,0.81,67953,97579832.0,EPL
3,2017-2018,4,Liverpool,34,25.6,60.3,38,21,12,5,84,38,46,75,1.97,72.9,33.8,39.1,1.03,53049,116263857.0,EPL
4,2017-2018,5,Chelsea,45,26.7,55.6,38,21,7,10,62,38,24,70,1.84,54.4,33.8,20.6,0.54,41282,147846240.0,EPL
5,2017-2018,6,Arsenal,45,26.8,61.4,38,19,6,13,74,51,23,63,1.66,68.3,47.8,20.5,0.54,59323,192316043.0,EPL
6,2017-2018,7,Burnley,30,27.5,43.7,38,14,12,12,36,39,-3,54,1.42,32.3,51.2,-18.9,-0.5,20688,39563962.0,EPL
7,2017-2018,8,Everton,48,26.7,45.5,38,13,10,15,44,58,-14,49,1.29,40.5,52.4,-11.9,-0.31,38797,103828499.0,EPL
8,2017-2018,9,Leicester City,34,27.2,48.0,38,12,11,15,56,60,-4,47,1.24,50.0,48.1,1.9,0.05,31583,77904185.0,EPL
9,2017-2018,11,Crystal Palace,41,27.1,45.2,38,11,11,16,45,55,-10,44,1.16,53.5,48.2,5.2,0.14,25063,82684869.0,EPL
10,2017-2018,12,Bournemouth,35,26.9,48.1,38,11,11,16,45,61,-16,44,1.16,38.8,59.2,-20.4,-0.54,10641,52328645.0,EPL
11,2017-2018,10,Newcastle Utd,37,25.6,41.7,38,12,8,18,39,47,-8,44,1.16,41.6,52.4,-10.8,-0.28,51992,51305427.0,EPL
12,2017-2018,13,West Ham,41,28.0,45.2,38,10,12,16,48,68,-20,42,1.11,36.7,55.1,-18.4,-0.48,56885,84497976.0,EPL
13,2017-2018,14,Watford,37,27.9,49.7,38,11,8,19,44,64,-20,41,1.08,45.0,51.8,-6.8,-0.18,20231,56478625.0,EPL
14,2017-2018,15,Brighton,39,27.5,43.7,38,9,13,16,34,54,-20,40,1.05,37.0,50.8,-13.8,-0.36,30403,48498265.0,EPL
15,2017-2018,16,Huddersfield,35,26.4,45.7,38,9,10,19,28,58,-30,37,0.97,31.3,48.5,-17.2,-0.45,24040,31118172.0,EPL
16,2017-2018,17,Southampton,29,26.2,51.3,38,7,15,16,37,56,-19,36,0.95,39.9,45.2,-5.3,-0.14,30794,82723752.0,EPL
17,2017-2018,19,Stoke City,35,27.5,41.4,38,7,12,19,35,68,-33,33,0.87,36.5,62.5,-26.0,-0.69,29280,59609032.0,EPL
18,2017-2018,18,Swansea City,36,27.2,45.3,38,8,9,21,28,56,-28,33,0.87,31.6,58.6,-27.0,-0.71,20623,58054764.0,EPL
19,2017-2018,20,West Brom,33,29.1,40.7,38,6,13,19,31,56,-25,31,0.82,36.5,47.9,-11.4,-0.3,24520,71763674.0,EPL
20,2018-2019,1,Manchester City,96,26.7,67.9,38,32,2,4,95,23,72,98,2.58,84.3,24.7,59.6,1.57,54130,183025676.0,EPL
21,2018-2019,2,Liverpool,88,26.1,61.8,38,30,7,1,89,22,67,97,2.55,73.7,28.8,44.9,1.18,52983,154892092.0,EPL
22,2018-2019,3,Chelsea,102,27.3,62.9,38,21,9,8,63,39,24,72,1.89,58.6,36.4,22.2,0.58,40437,191405844.0,EPL
23,2018-2019,4,Tottenham,83,26.8,59.0,38,23,2,13,67,39,28,71,1.87,54.9,47.1,7.8,0.2,54216,110835465.0,EPL
24,2018-2019,5,Arsenal,91,26.7,58.1,38,21,7,10,73,51,22,70,1.84,60.1,54.2,5.9,0.15,59899,164492342.0,EPL
25,2018-2019,6,Manchester Utd,86,26.3,54.7,38,19,9,10,65,54,11,66,1.74,61.4,50.6,10.8,0.29,74498,183893347.0,EPL
26,2018-2019,7,Wolves,85,26.1,46.8,38,16,9,13,47,46,1,57,1.5,52.1,42.1,10.1,0.26,31030,45190433.0,EPL
27,2018-2019,8,Everton,90,25.7,51.5,38,15,9,14,54,46,8,54,1.42,49.7,45.7,4.0,0.1,39043,104152963.0,EPL
28,2018-2019,10,West Ham,90,27.6,48.6,38,15,7,16,52,55,-3,52,1.37,47.6,61.9,-14.3,-0.38,58336,100614239.0,EPL
29,2018-2019,9,Leicester City,88,25.9,50.9,38,15,7,16,51,48,3,52,1.37,52.4,43.7,8.7,0.23,31851,97096177.0,EPL
30,2018-2019,11,Watford,93,28.5,46.7,38,14,8,16,52,59,-7,50,1.32,48.2,59.2,-11.0,-0.29,20016,60029502.0,EPL
31,2018-2019,12,Crystal Palace,86,27.4,45.2,38,14,7,17,51,53,-2,49,1.29,47.6,50.1,-2.5,-0.07,25455,90778244.0,EPL
32,2018-2019,14,Bournemouth,79,26.6,46.9,38,13,6,19,56,70,-14,45,1.18,53.3,57.2,-3.9,-0.1,10532,64030011.0,EPL
33,2018-2019,13,Newcastle Utd,87,26.9,40.4,38,12,9,17,42,48,-6,45,1.18,39.1,53.6,-14.5,-0.38,51121,60572706.0,EPL
34,2018-2019,15,Burnley,83,28.0,41.2,38,11,7,20,45,68,-23,40,1.05,44.4,62.1,-17.7,-0.47,20534,53789342.0,EPL
35,2018-2019,16,Southampton,86,25.4,43.4,38,9,12,17,45,65,-20,39,1.03,46.9,55.1,-8.2,-0.22,30139,88121158.0,EPL
36,2018-2019,17,Brighton,86,27.4,42.4,38,9,9,20,35,60,-25,36,0.95,35.3,59.1,-23.8,-0.63,30426,52036991.0,EPL
37,2018-2019,18,Cardiff City,92,27.7,35.4,38,10,4,24,34,69,-35,34,0.89,42.4,61.5,-19.1,-0.5,31408,40090150.0,EPL
38,2018-2019,19,Fulham,82,26.0,48.8,38,7,5,26,34,81,-47,26,0.68,41.3,68.2,-26.8,-0.71,24371,61877851.0,EPL
39,2018-2019,20,Huddersfield,86,26.2,47.2,38,3,7,28,22,76,-54,16,0.42,28.8,60.9,-32.2,-0.85,23203,42672499.0,EPL
40,2019-2020,1,Liverpool,70,26.6,62.9,38,32,3,3,85,33,52,99,2.61,68.9,37.7,31.2,0.82,41955,139592457.0,EPL
41,2019-2020,2,Manchester City,71,26.9,66.2,38,26,3,9,102,35,67,81,2.13,92.0,36.2,55.7,1.47,37097,181055805.0,EPL
42,2019-2020,3,Manchester Utd,78,24.8,55.8,38,18,12,8,66,36,30,66,1.74,62.2,37.7,24.5,0.64,57415,201046193.0,EPL
43,2019-2020,4,Chelsea,79,25.5,60.4,38,20,6,12,69,54,15,66,1.74,69.2,38.6,30.6,0.81,32023,145401216.0,EPL
44,2019-2020,5,Leicester City,80,26.1,57.1,38,18,8,12,67,41,26,62,1.63,62.2,45.5,16.7,0.44,25312,89355214.0,EPL
45,2019-2020,6,Tottenham,76,26.7,52.0,38,16,11,11,61,47,14,59,1.55,47.9,54.2,-6.3,-0.17,43757,130733496.0,EPL
46,2019-2020,7,Wolves,77,26.6,48.3,38,15,14,9,51,40,11,59,1.55,54.1,38.0,16.1,0.42,24758,65779923.0,EPL
47,2019-2020,8,Arsenal,78,25.8,53.8,38,14,14,10,56,48,8,56,1.47,47.0,55.3,-8.3,-0.22,47589,144052322.0,EPL
48,2019-2020,10,Burnley,73,28.0,41.9,38,15,9,14,43,50,-7,54,1.42,47.4,49.8,-2.4,-0.06,15995,54040892.0,EPL
49,2019-2020,9,Sheffield Utd,83,26.9,43.1,38,14,12,12,39,39,0,54,1.42,43.0,51.0,-7.9,-0.21,24370,29384049.0,EPL
50,2019-2020,11,Southampton,64,25.9,48.9,38,15,7,16,51,60,-9,52,1.37,56.1,52.8,3.3,0.09,23428,65062944.0,EPL
51,2019-2020,12,Everton,76,25.5,49.0,38,13,10,15,44,56,-12,49,1.29,50.8,48.3,2.5,0.07,28848,106854401.0,EPL
52,2019-2020,13,Newcastle Utd,88,26.5,39.0,38,11,11,16,38,58,-20,44,1.16,35.5,65.6,-30.1,-0.79,35551,81796543.0,EPL
53,2019-2020,14,Crystal Palace,69,29.4,44.8,38,11,10,17,31,50,-19,43,1.13,35.8,57.0,-21.2,-0.56,19784,90278786.0,EPL
54,2019-2020,15,Brighton,81,26.4,52.2,38,9,14,15,39,54,-15,41,1.08,45.4,55.0,-9.5,-0.25,22369,59205581.0,EPL
55,2019-2020,16,West Ham,74,27.4,44.1,38,10,9,19,49,62,-13,39,1.03,48.6,63.8,-15.2,-0.4,44155,90541270.0,EPL
56,2019-2020,17,Aston Villa,79,25.7,44.1,38,9,8,21,41,67,-26,35,0.92,44.3,67.8,-23.5,-0.62,28505,62158568.0,EPL
57,2019-2020,19,Watford,91,28.9,42.9,38,8,10,20,36,64,-28,34,0.89,48.9,58.1,-9.3,-0.24,15353,70081807.0,EPL
58,2019-2020,18,Bournemouth,83,25.2,44.1,38,9,7,22,40,65,-25,34,0.89,44.8,62.3,-17.5,-0.46,7745,51464621.0,EPL
59,2019-2020,20,Norwich City,71,26.0,49.3,38,5,6,27,26,75,-49,21,0.55,37.0,66.5,-29.5,-0.78,19913,31826646.0,EPL
60,2020-2021,1,Manchester City,76,26.1,63.5,38,27,5,6,83,32,51,86,2.26,68.2,30.2,38.0,1.0,526,167309223.0,EPL
61,2020-2021,2,Manchester Utd,86,25.6,55.7,38,21,11,6,73,44,29,74,1.95,60.1,41.5,18.6,0.49,526,235035931.0,EPL
62,2020-2021,3,Liverpool,84,26.8,62.1,38,20,9,9,68,42,26,69,1.82,67.5,43.0,24.5,0.65,837,159096757.0,EPL
63,2020-2021,4,Chelsea,82,26.0,60.9,38,19,10,9,58,36,22,67,1.76,62.4,30.3,32.2,0.85,526,179624258.0,EPL
64,2020-2021,5,Leicester City,78,26.5,54.3,38,20,6,12,68,50,18,66,1.74,55.8,46.0,9.8,0.26,421,94211238.0,EPL
65,2020-2021,6,West Ham,69,27.8,43.2,38,19,8,11,62,47,15,65,1.71,55.4,48.7,6.7,0.18,632,80783044.0,EPL
66,2020-2021,7,Tottenham,82,27.2,51.6,38,18,8,12,68,45,23,62,1.63,53.1,49.1,4.0,0.1,632,163418084.0,EPL
67,2020-2021,8,Arsenal,87,25.9,53.5,38,18,7,13,55,39,16,61,1.61,51.8,43.0,8.8,0.23,632,179184367.0,EPL
68,2020-2021,10,Everton,87,26.3,46.4,38,17,8,13,47,48,-1,59,1.55,45.7,50.1,-4.5,-0.12,368,111889062.0,EPL
69,2020-2021,9,Leeds United,85,26.1,57.3,38,18,5,15,62,54,8,59,1.55,55.6,57.9,-2.2,-0.06,421,29391828.0,EPL
70,2020-2021,11,Aston Villa,79,25.2,48.5,38,16,7,15,55,46,9,55,1.45,52.5,51.1,1.4,0.04,526,75481066.0,EPL
71,2020-2021,12,Newcastle Utd,94,27.1,38.8,38,12,9,17,46,62,-16,45,1.18,43.4,58.3,-14.9,-0.39,526,69931123.0,EPL
72,2020-2021,13,Wolves,70,26.3,49.3,38,12,9,17,36,52,-16,45,1.18,36.5,49.5,-13.0,-0.34,237,62600661.0,EPL
73,2020-2021,14,Crystal Palace,87,29.1,40.6,38,12,8,18,41,66,-25,44,1.16,34.1,58.2,-24.2,-0.64,447,107832658.0,EPL
74,2020-2021,15,Southampton,76,26.6,52.0,38,12,7,19,47,68,-21,43,1.13,41.2,53.1,-11.8,-0.31,526,69491210.0,EPL
75,2020-2021,16,Brighton,87,25.8,51.1,38,9,14,15,40,46,-6,41,1.08,50.9,35.3,15.6,0.41,523,62679778.0,EPL
76,2020-2021,17,Burnley,74,28.3,42.1,38,10,9,19,33,55,-22,39,1.03,39.3,54.7,-15.4,-0.4,178,44660597.0,EPL
77,2020-2021,18,Fulham,89,25.2,49.7,38,5,13,20,27,53,-26,28,0.74,40.5,52.6,-12.1,-0.32,211,63396662.0,EPL
78,2020-2021,19,West Brom,87,26.4,37.9,38,5,11,22,35,76,-41,26,0.68,35.8,67.9,-32.0,-0.84,283,45070367.0,EPL
79,2020-2021,20,Sheffield Utd,86,26.7,41.7,38,7,2,29,20,63,-43,23,0.61,32.6,62.2,-29.6,-0.78,263,24410390.0,EPL
80,2021-2022,1,Manchester City,67,27.0,67.9,38,29,6,3,99,26,73,93,2.45,88.7,24.6,64.0,1.68,52774,184169203.0,EPL
81,2021-2022,2,Liverpool,83,27.7,62.7,38,28,8,2,94,26,68,92,2.42,88.7,33.8,54.9,1.45,53352,175492521.0,EPL
82,2021-2022,3,Chelsea,81,27.4,61.8,38,21,11,6,76,33,43,74,1.95,63.4,33.2,30.1,0.79,36443,213745254.0,EPL
83,2021-2022,4,Tottenham,67,26.5,51.8,38,22,5,11,69,40,29,71,1.87,61.2,39.3,21.9,0.58,56523,133905224.0,EPL
84,2021-2022,5,Arsenal,70,24.4,52.8,38,22,3,13,61,48,13,69,1.82,60.5,45.7,14.9,0.39,59665,138984848.0,EPL
85,2021-2022,6,Manchester Utd,82,27.2,52.7,38,16,10,12,57,57,0,58,1.53,55.8,53.0,2.8,0.07,73150,290255583.0,EPL
86,2021-2022,7,West Ham,74,28.2,47.9,38,16,8,14,60,51,9,56,1.47,51.4,53.5,-2.1,-0.06,58370,90602030.0,EPL
87,2021-2022,8,Leicester City,82,26.5,52.0,38,14,10,14,62,59,3,52,1.37,47.8,59.3,-11.5,-0.3,32493,90376000.0,EPL
88,2021-2022,10,Wolves,76,27.3,49.5,38,15,6,17,38,43,-5,51,1.34,37.5,56.9,-19.4,-0.51,30841,69595717.0,EPL
89,2021-2022,9,Brighton,76,26.2,54.4,38,12,15,11,42,44,-2,51,1.34,46.2,42.9,3.3,0.09,30966,56471332.0,EPL
90,2021-2022,11,Newcastle Utd,80,27.5,40.4,38,13,10,15,44,62,-18,49,1.29,38.1,57.1,-19.0,-0.5,51487,83327721.0,EPL
91,2021-2022,12,Crystal Palace,78,27.1,51.1,38,11,15,12,50,46,4,48,1.26,46.4,40.7,5.7,0.15,24588,88650389.0,EPL
92,2021-2022,13,Brentford,90,25.4,44.8,38,13,7,18,48,56,-8,46,1.21,45.8,48.5,-2.7,-0.07,16918,25677627.0,EPL
93,2021-2022,14,Aston Villa,66,26.1,46.5,38,13,6,19,52,54,-2,45,1.18,44.0,49.0,-4.9,-0.13,41681,86876165.0,EPL
94,2021-2022,15,Southampton,81,25.7,47.7,38,9,13,16,43,67,-24,40,1.05,44.8,60.0,-15.2,-0.4,30134,63896331.0,EPL
95,2021-2022,16,Everton,86,26.7,40.0,38,11,6,21,43,66,-23,39,1.03,41.2,55.4,-14.2,-0.37,38446,112648575.0,EPL
96,2021-2022,17,Leeds United,70,26.1,52.3,38,9,11,18,42,79,-37,38,1.0,44.4,67.8,-23.5,-0.62,36308,28934417.0,EPL
97,2021-2022,18,Burnley,72,28.5,40.2,38,7,14,17,34,53,-19,35,0.92,39.7,57.1,-17.4,-0.46,19278,48025544.0,EPL
98,2021-2022,19,Watford,88,28.4,40.7,38,6,5,27,34,77,-43,23,0.61,40.0,64.5,-24.5,-0.64,20614,50285851.0,EPL
99,2021-2022,20,Norwich City,82,26.2,42.9,38,5,7,26,23,84,-61,22,0.58,32.3,75.5,-43.2,-1.14,26836,38060731.0,EPL
