,Season,Round,Wk,Date,Time,Home,Away,Home Score,Away Score,xG Home,xG Away,xG Diff,Actual Diff,Attendance,Venue,Referee,League
248,2018-2019,Semi-finals,,2019-05-01,21:00,Barcelona,Liverpool,3.0,0.0,2.4,1.8,0.5999999999999999,3.0,98299.0,Camp Nou,Björn Kuipers,UEFA
249,2018-2019,Semi-finals,,2019-05-07,20:00,Liverpool,Barcelona,4.0,0.0,2.3,1.4,0.8999999999999999,4.0,55212.0,Anfield,Cüneyt Çakιr,UEFA
250,2018-2019,Semi-finals,,2019-05-08,21:00,Ajax,Tottenham,2.0,3.0,1.6,4.2,-2.6,-1.0,52641.0,Johan Cruyff ArenA,Felix Brych,UEFA
251,2018-2019,Final,,2019-06-01,21:00,Tottenham,Liverpool,0.0,2.0,0.8,1.3,-0.5,-2.0,63272.0,Estadio Wanda Metropolitano,Damir Skomina,UEFA
252,2019-2020,Group stage,1.0,2019-09-17,18:55,Lyon,Zenit,1.0,1.0,1.6,1.0,0.6000000000000001,0.0,47201.0,Groupama Stadium,Michael Oliver,UEFA
253,2019-2020,Group stage,1.0,2019-09-17,18:55,Inter,Slavia Prague,1.0,1.0,1.4,1.0,0.3999999999999999,0.0,50128.0,Stadio Giuseppe Meazza,Ruddy Buquet,UEFA
254,2019-2020,Group stage,1.0,2019-09-17,20:00,Chelsea,Valencia,0.0,1.0,2.8,1.0,1.7999999999999998,-1.0,39469.0,Stamford Bridge,Cüneyt Çakιr,UEFA
255,2019-2020,Group stage,1.0,2019-09-17,20:00,Benfica,RB Leipzig,1.0,2.0,1.8,1.0,0.8,-1.0,46460.0,Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,UEFA
256,2019-2020,Group stage,1.0,2019-09-17,21:00,Dortmund,Barcelona,0.0,0.0,3.4,0.4,3.0,0.0,66099.0,Signal Iduna Park,Ovidiu Hațegan,UEFA
257,2019-2020,Group stage,1.0,2019-09-17,21:00,RB Salzburg,Genk,6.0,2.0,4.3,0.7,3.5999999999999996,4.0,29520.0,Red Bull Arena,Felix Zwayer,UEFA
258,2019-2020,Group stage,1.0,2019-09-17,21:00,Ajax,Lille,3.0,0.0,1.5,2.0,-0.5,3.0,51441.0,Johan Cruyff ArenA,Srđan Jovanović,UEFA
259,2019-2020,Group stage,1.0,2019-09-17,21:00,Napoli,Liverpool,2.0,0.0,1.8,0.7,1.1,2.0,38878.0,Stadio San Paolo,Felix Brych,UEFA
260,2019-2020,Group stage,1.0,2019-09-18,18:55,Club Brugge,Galatasaray,0.0,0.0,1.7,0.6,1.1,0.0,26616.0,Jan Breydelstadion,Slavko Vinčič,UEFA
261,2019-2020,Group stage,1.0,2019-09-18,19:55,Olympiacos,Tottenham,2.0,2.0,1.7,1.7,0.0,0.0,31001.0,Stadio Georgios Karaiskáki,Gianluca Rocchi,UEFA
262,2019-2020,Group stage,1.0,2019-09-18,21:00,Atlético Madrid,Juventus,2.0,2.0,2.3,1.1,1.1999999999999997,0.0,66283.0,Estadio Wanda Metropolitano,Danny Makkelie,UEFA
263,2019-2020,Group stage,1.0,2019-09-18,21:00,Paris S-G,Real Madrid,3.0,0.0,1.7,0.6,1.1,3.0,46361.0,Parc des Princes,Anthony Taylor,UEFA
264,2019-2020,Group stage,1.0,2019-09-18,21:00,Bayern Munich,Red Star,3.0,0.0,4.3,0.3,4.0,3.0,70000.0,Allianz Arena,Bobby Madden,UEFA
265,2019-2020,Group stage,1.0,2019-09-18,21:00,Dinamo Zagreb,Atalanta,4.0,0.0,2.7,1.8,0.9000000000000001,4.0,28863.0,Stadion Maksimir,Jesús Gil,UEFA
266,2019-2020,Group stage,1.0,2019-09-18,21:00,Leverkusen,Loko Moscow,1.0,2.0,1.5,0.9,0.6,-1.0,26592.0,BayArena,Paweł Raczkowski,UEFA
267,2019-2020,Group stage,1.0,2019-09-18,22:00,Shakhtar,Manchester City,0.0,3.0,0.9,2.5,-1.6,-3.0,36675.0,Oblasny SportKomplex Metalist,Artur Soares Dias,UEFA
268,2019-2020,Group stage,2.0,2019-10-01,18:55,Atalanta,Shakhtar,1.0,2.0,2.5,1.5,1.0,-1.0,26022.0,Stadio Giuseppe Meazza,Tobias Stieler,UEFA
269,2019-2020,Group stage,2.0,2019-10-01,18:55,Real Madrid,Club Brugge,2.0,2.0,2.3,1.4,0.8999999999999999,0.0,65112.0,Estadio Santiago Bernabéu,Georgi Kabakov,UEFA
270,2019-2020,Group stage,2.0,2019-10-01,20:00,Manchester City,Dinamo Zagreb,2.0,0.0,3.6,0.1,3.5,2.0,49046.0,Etihad Stadium,Serdar Gözübüyük,UEFA
271,2019-2020,Group stage,2.0,2019-10-01,20:00,Tottenham,Bayern Munich,2.0,7.0,1.9,1.3,0.5999999999999999,-5.0,60127.0,Tottenham Hotspur Stadium,Clément Turpin,UEFA
272,2019-2020,Group stage,2.0,2019-10-01,21:00,Juventus,Leverkusen,3.0,0.0,1.2,0.5,0.7,3.0,34525.0,Allianz Stadium,William Collum,UEFA
273,2019-2020,Group stage,2.0,2019-10-01,21:00,Red Star,Olympiacos,3.0,1.0,1.3,0.9,0.4,2.0,43291.0,Stadion Rajko Mitić,Benoît Bastien,UEFA
274,2019-2020,Group stage,2.0,2019-10-01,22:00,Loko Moscow,Atlético Madrid,0.0,2.0,1.1,2.9,-1.7999999999999998,-2.0,27051.0,RZD Arena,Orel Grinfeeld,UEFA
275,2019-2020,Group stage,2.0,2019-10-01,22:00,Galatasaray,Paris S-G,0.0,1.0,0.5,2.6,-2.1,-1.0,46532.0,Türk Telekom Arena,Szymon Marciniak,UEFA
276,2019-2020,Group stage,2.0,2019-10-02,18:55,Genk,Napoli,0.0,0.0,0.7,3.2,-2.5,0.0,19962.0,Luminus Arena,István Kovács,UEFA
277,2019-2020,Group stage,2.0,2019-10-02,18:55,Slavia Prague,Dortmund,0.0,2.0,1.4,0.8,0.5999999999999999,-2.0,19370.0,Sinobo Stadium,Björn Kuipers,UEFA
278,2019-2020,Group stage,2.0,2019-10-02,20:00,Liverpool,RB Salzburg,4.0,3.0,2.5,1.6,0.8999999999999999,1.0,52243.0,Anfield,Andreas Ekberg,UEFA
279,2019-2020,Group stage,2.0,2019-10-02,21:00,Barcelona,Inter,2.0,1.0,1.5,1.1,0.3999999999999999,1.0,86141.0,Camp Nou,Damir Skomina,UEFA
280,2019-2020,Group stage,2.0,2019-10-02,21:00,RB Leipzig,Lyon,0.0,2.0,1.9,1.5,0.3999999999999999,-2.0,40194.0,Red Bull Arena,Antonio Matéu Lahoz,UEFA
281,2019-2020,Group stage,2.0,2019-10-02,21:00,Lille,Chelsea,1.0,2.0,0.6,1.4,-0.7999999999999999,-1.0,48523.0,Stade Pierre-Mauroy,Aliaksei Kulbakou,UEFA
282,2019-2020,Group stage,2.0,2019-10-02,21:00,Valencia,Ajax,0.0,3.0,2.0,1.7,0.30000000000000004,-3.0,44659.0,Estadio de Mestalla,Daniele Orsato,UEFA
283,2019-2020,Group stage,2.0,2019-10-02,22:00,Zenit,Benfica,3.0,1.0,2.1,1.2,0.9000000000000001,2.0,51683.0,Gazprom Arena,Carlos del Cerro,UEFA
284,2019-2020,Group stage,3.0,2019-10-22,18:55,Atlético Madrid,Leverkusen,1.0,0.0,0.8,0.5,0.30000000000000004,1.0,56776.0,Estadio Wanda Metropolitano,Artur Soares Dias,UEFA
285,2019-2020,Group stage,3.0,2019-10-22,19:55,Shakhtar,Dinamo Zagreb,2.0,2.0,1.5,2.1,-0.6000000000000001,0.0,21526.0,Oblasny SportKomplex Metalist,Antonio Matéu Lahoz,UEFA
286,2019-2020,Group stage,3.0,2019-10-22,20:00,Tottenham,Red Star,5.0,0.0,3.7,0.6,3.1,5.0,51743.0,Tottenham Hotspur Stadium,Marco Guida,UEFA
287,2019-2020,Group stage,3.0,2019-10-22,20:00,Manchester City,Atalanta,5.0,1.0,4.2,1.8,2.4000000000000004,4.0,49308.0,Etihad Stadium,Orel Grinfeeld,UEFA
288,2019-2020,Group stage,3.0,2019-10-22,21:00,Club Brugge,Paris S-G,0.0,5.0,0.3,3.5,-3.2,-5.0,26946.0,Jan Breydelstadion,Daniel Siebert,UEFA
289,2019-2020,Group stage,3.0,2019-10-22,21:00,Juventus,Loko Moscow,2.0,1.0,2.4,0.7,1.7,1.0,38547.0,Allianz Stadium,Tasos Sidiropoulos,UEFA
290,2019-2020,Group stage,3.0,2019-10-22,22:00,Olympiacos,Bayern Munich,2.0,3.0,0.5,2.6,-2.1,-1.0,31670.0,Stadio Georgios Karaiskáki,Danny Makkelie,UEFA
291,2019-2020,Group stage,3.0,2019-10-22,22:00,Galatasaray,Real Madrid,0.0,1.0,1.2,2.4,-1.2,-1.0,48886.0,Türk Telekom Arena,Daniele Orsato,UEFA
292,2019-2020,Group stage,3.0,2019-10-23,18:55,RB Leipzig,Zenit,2.0,1.0,2.2,0.7,1.5000000000000002,1.0,41058.0,Red Bull Arena,Ali Palabıyık,UEFA
293,2019-2020,Group stage,3.0,2019-10-23,18:55,Ajax,Chelsea,0.0,1.0,0.5,1.6,-1.1,-1.0,52482.0,Johan Cruyff ArenA,Ovidiu Hațegan,UEFA
294,2019-2020,Group stage,3.0,2019-10-23,20:00,Benfica,Lyon,2.0,1.0,0.5,1.5,-1.0,1.0,53035.0,Estádio do Sport Lisboa e Benfica,Ivan Kružliak,UEFA
295,2019-2020,Group stage,3.0,2019-10-23,21:00,Inter,Dortmund,2.0,0.0,2.1,0.4,1.7000000000000002,2.0,65673.0,Stadio Giuseppe Meazza,Anthony Taylor,UEFA
296,2019-2020,Group stage,3.0,2019-10-23,21:00,RB Salzburg,Napoli,2.0,3.0,2.7,0.9,1.8000000000000003,-1.0,29520.0,Red Bull Arena,Clément Turpin,UEFA
297,2019-2020,Group stage,3.0,2019-10-23,21:00,Lille,Valencia,1.0,1.0,1.9,0.6,1.2999999999999998,0.0,47488.0,Stade Pierre-Mauroy,Deniz Aytekin,UEFA
298,2019-2020,Group stage,3.0,2019-10-23,21:00,Genk,Liverpool,1.0,4.0,1.3,2.5,-1.2,-3.0,19626.0,Luminus Arena,Slavko Vinčič,UEFA
299,2019-2020,Group stage,3.0,2019-10-23,21:00,Slavia Prague,Barcelona,1.0,2.0,1.5,2.5,-1.0,-1.0,19170.0,Sinobo Stadium,Bobby Madden,UEFA
300,2019-2020,Group stage,4.0,2019-11-05,18:55,Barcelona,Slavia Prague,0.0,0.0,2.3,0.3,1.9999999999999998,0.0,67023.0,Camp Nou,Michael Oliver,UEFA
301,2019-2020,Group stage,4.0,2019-11-05,20:00,Liverpool,Genk,2.0,1.0,2.3,0.7,1.5999999999999999,1.0,52611.0,Anfield,Ivan Kružliak,UEFA
302,2019-2020,Group stage,4.0,2019-11-05,20:00,Chelsea,Ajax,4.0,4.0,4.8,1.0,3.8,0.0,39132.0,Stamford Bridge,Gianluca Rocchi,UEFA
303,2019-2020,Group stage,4.0,2019-11-05,20:55,Zenit,RB Leipzig,0.0,2.0,1.2,1.4,-0.19999999999999996,-2.0,50452.0,Gazprom Arena,Orel Grinfeeld,UEFA
304,2019-2020,Group stage,4.0,2019-11-05,21:00,Valencia,Lille,4.0,1.0,2.3,1.5,0.7999999999999998,3.0,38252.0,Estadio de Mestalla,Sergey Karasev,UEFA
305,2019-2020,Group stage,4.0,2019-11-05,21:00,Napoli,RB Salzburg,1.0,1.0,2.7,1.5,1.2000000000000002,0.0,32862.0,Stadio San Paolo,Szymon Marciniak,UEFA
306,2019-2020,Group stage,4.0,2019-11-05,21:00,Dortmund,Inter,3.0,2.0,3.5,1.4,2.1,1.0,66099.0,Signal Iduna Park,Danny Makkelie,UEFA
307,2019-2020,Group stage,4.0,2019-11-05,21:00,Lyon,Benfica,3.0,1.0,1.4,1.3,0.09999999999999987,2.0,51077.0,Groupama Stadium,Björn Kuipers,UEFA
308,2019-2020,Group stage,4.0,2019-11-06,18:55,Bayern Munich,Olympiacos,2.0,0.0,3.3,0.2,3.0999999999999996,2.0,63646.0,Allianz Arena,Paweł Raczkowski,UEFA
309,2019-2020,Group stage,4.0,2019-11-06,20:55,Loko Moscow,Juventus,1.0,2.0,2.4,2.4,0.0,-1.0,26862.0,RZD Arena,Ruddy Buquet,UEFA
310,2019-2020,Group stage,4.0,2019-11-06,21:00,Atalanta,Manchester City,1.0,1.0,0.7,2.0,-1.3,0.0,34326.0,Stadio Giuseppe Meazza,Aliaksei Kulbakou,UEFA
311,2019-2020,Group stage,4.0,2019-11-06,21:00,Leverkusen,Atlético Madrid,2.0,1.0,1.3,2.0,-0.7,1.0,28160.0,BayArena,Damir Skomina,UEFA
312,2019-2020,Group stage,4.0,2019-11-06,21:00,Paris S-G,Club Brugge,1.0,0.0,1.9,1.8,0.09999999999999987,1.0,47418.0,Parc des Princes,Bobby Madden,UEFA
313,2019-2020,Group stage,4.0,2019-11-06,21:00,Real Madrid,Galatasaray,6.0,0.0,4.2,0.6,3.6,6.0,65492.0,Estadio Santiago Bernabéu,Felix Zwayer,UEFA
314,2019-2020,Group stage,4.0,2019-11-06,21:00,Red Star,Tottenham,0.0,4.0,0.5,2.5,-2.0,-4.0,42381.0,Stadion Rajko Mitić,Carlos del Cerro,UEFA
315,2019-2020,Group stage,4.0,2019-11-06,21:00,Dinamo Zagreb,Shakhtar,3.0,3.0,2.0,2.7,-0.7000000000000002,0.0,28316.0,Stadion Maksimir,Felix Brych,UEFA
316,2019-2020,Group stage,5.0,2019-11-26,20:00,Manchester City,Shakhtar,1.0,1.0,1.2,1.0,0.19999999999999996,0.0,52020.0,Etihad Stadium,Slavko Vinčič,UEFA
317,2019-2020,Group stage,5.0,2019-11-26,20:00,Tottenham,Olympiacos,4.0,2.0,2.2,1.2,1.0000000000000002,2.0,57024.0,Tottenham Hotspur Stadium,Georgi Kabakov,UEFA
318,2019-2020,Group stage,5.0,2019-11-26,20:55,Galatasaray,Club Brugge,1.0,1.0,0.9,1.1,-0.20000000000000007,0.0,34500.0,Türk Telekom Arena,Ivan Kružliak,UEFA
319,2019-2020,Group stage,5.0,2019-11-26,20:55,Loko Moscow,Leverkusen,0.0,2.0,1.0,0.7,0.30000000000000004,-2.0,25757.0,RZD Arena,Michael Oliver,UEFA
320,2019-2020,Group stage,5.0,2019-11-26,21:00,Real Madrid,Paris S-G,2.0,2.0,3.9,2.4,1.5,0.0,75534.0,Estadio Santiago Bernabéu,Artur Soares Dias,UEFA
321,2019-2020,Group stage,5.0,2019-11-26,21:00,Red Star,Bayern Munich,0.0,6.0,0.2,4.9,-4.7,-6.0,44118.0,Stadion Rajko Mitić,Björn Kuipers,UEFA
322,2019-2020,Group stage,5.0,2019-11-26,21:00,Juventus,Atlético Madrid,1.0,0.0,0.4,0.7,-0.29999999999999993,1.0,40486.0,Allianz Stadium,Anthony Taylor,UEFA
323,2019-2020,Group stage,5.0,2019-11-26,21:00,Atalanta,Dinamo Zagreb,2.0,0.0,3.0,0.3,2.7,2.0,26496.0,Stadio Giuseppe Meazza,Sergey Karasev,UEFA
324,2019-2020,Group stage,5.0,2019-11-27,18:55,Valencia,Chelsea,2.0,2.0,3.1,2.1,1.0,0.0,43486.0,Estadio de Mestalla,Felix Zwayer,UEFA
325,2019-2020,Group stage,5.0,2019-11-27,20:00,Liverpool,Napoli,1.0,1.0,0.8,0.5,0.30000000000000004,0.0,52128.0,Anfield,Carlos del Cerro,UEFA
326,2019-2020,Group stage,5.0,2019-11-27,20:55,Zenit,Lyon,2.0,0.0,0.9,0.6,0.30000000000000004,2.0,51183.0,Gazprom Arena,Daniele Orsato,UEFA
327,2019-2020,Group stage,5.0,2019-11-27,21:00,Slavia Prague,Inter,1.0,3.0,2.4,2.3,0.10000000000000009,-2.0,19370.0,Sinobo Stadium,Szymon Marciniak,UEFA
328,2019-2020,Group stage,5.0,2019-11-27,21:00,Genk,RB Salzburg,1.0,4.0,1.6,3.0,-1.4,-3.0,17284.0,Luminus Arena,Mattias Gestranius,UEFA
329,2019-2020,Group stage,5.0,2019-11-27,21:00,Lille,Ajax,0.0,2.0,2.4,1.6,0.7999999999999998,-2.0,48612.0,Stade Pierre-Mauroy,Felix Brych,UEFA
330,2019-2020,Group stage,5.0,2019-11-27,21:00,RB Leipzig,Benfica,2.0,2.0,3.2,0.9,2.3000000000000003,0.0,38339.0,Red Bull Arena,Jesús Gil,UEFA
331,2019-2020,Group stage,5.0,2019-11-27,21:00,Barcelona,Dortmund,3.0,1.0,2.4,1.6,0.7999999999999998,2.0,90071.0,Camp Nou,Clément Turpin,UEFA
332,2019-2020,Group stage,6.0,2019-12-10,18:55,Napoli,Genk,4.0,0.0,3.0,1.8,1.2,4.0,22265.0,Stadio San Paolo,Cüneyt Çakιr,UEFA
333,2019-2020,Group stage,6.0,2019-12-10,18:55,RB Salzburg,Liverpool,0.0,2.0,0.7,3.4,-2.7,-2.0,29520.0,Red Bull Arena,Danny Makkelie,UEFA
334,2019-2020,Group stage,6.0,2019-12-10,20:00,Benfica,Zenit,3.0,0.0,2.4,0.1,2.3,3.0,40232.0,Estádio do Sport Lisboa e Benfica,Antonio Matéu Lahoz,UEFA
335,2019-2020,Group stage,6.0,2019-12-10,20:00,Chelsea,Lille,2.0,1.0,2.7,0.3,2.4000000000000004,1.0,40016.0,Stamford Bridge,Anastasios Sidiropoulos,UEFA
336,2019-2020,Group stage,6.0,2019-12-10,21:00,Inter,Barcelona,1.0,2.0,1.7,1.5,0.19999999999999996,-1.0,71818.0,Stadio Giuseppe Meazza,Björn Kuipers,UEFA
337,2019-2020,Group stage,6.0,2019-12-10,21:00,Lyon,RB Leipzig,2.0,2.0,1.1,3.4,-2.3,0.0,53288.0,Groupama Stadium,Anthony Taylor,UEFA
338,2019-2020,Group stage,6.0,2019-12-10,21:00,Ajax,Valencia,0.0,1.0,1.2,1.1,0.09999999999999987,-1.0,51931.0,Johan Cruyff ArenA,Clément Turpin,UEFA
339,2019-2020,Group stage,6.0,2019-12-10,21:00,Dortmund,Slavia Prague,2.0,1.0,2.9,2.8,0.10000000000000009,1.0,65079.0,Signal Iduna Park,Sergey Karasev,UEFA
340,2019-2020,Group stage,6.0,2019-12-11,18:55,Dinamo Zagreb,Manchester City,1.0,4.0,0.4,3.6,-3.2,-3.0,29385.0,Stadion Maksimir,Carlos del Cerro,UEFA
341,2019-2020,Group stage,6.0,2019-12-11,19:55,Shakhtar,Atalanta,0.0,3.0,0.6,2.9,-2.3,-3.0,26536.0,Oblasny SportKomplex Metalist,Felix Zwayer,UEFA
342,2019-2020,Group stage,6.0,2019-12-11,21:00,Paris S-G,Galatasaray,5.0,0.0,4.4,0.3,4.1000000000000005,5.0,46509.0,Parc des Princes,István Kovács,UEFA
343,2019-2020,Group stage,6.0,2019-12-11,21:00,Bayern Munich,Tottenham,3.0,1.0,2.9,1.0,1.9,2.0,66353.0,Allianz Arena,Gianluca Rocchi,UEFA
344,2019-2020,Group stage,6.0,2019-12-11,21:00,Atlético Madrid,Loko Moscow,2.0,0.0,3.2,0.1,3.1,2.0,58426.0,Estadio Wanda Metropolitano,Viktor Kassai,UEFA
345,2019-2020,Group stage,6.0,2019-12-11,21:00,Leverkusen,Juventus,0.0,2.0,2.2,0.9,1.3000000000000003,-2.0,29542.0,BayArena,Benoît Bastien,UEFA
346,2019-2020,Group stage,6.0,2019-12-11,21:00,Club Brugge,Real Madrid,1.0,3.0,1.0,1.2,-0.19999999999999996,-2.0,27308.0,Jan Breydelstadion,Tobias Stieler,UEFA
347,2019-2020,Group stage,6.0,2019-12-11,22:00,Olympiacos,Red Star,1.0,0.0,3.5,1.2,2.3,1.0,31898.0,Stadio Georgios Karaiskáki,Daniele Orsato,UEFA
348,2019-2020,Round of 16,,2020-02-18,21:00,Dortmund,Paris S-G,2.0,1.0,1.3,1.5,-0.19999999999999996,1.0,66099.0,Signal Iduna Park,Antonio Matéu Lahoz,UEFA
349,2019-2020,Round of 16,,2020-02-18,21:00,Atlético Madrid,Liverpool,1.0,0.0,1.2,0.5,0.7,1.0,67443.0,Estadio Wanda Metropolitano,Szymon Marciniak,UEFA
350,2019-2020,Round of 16,,2020-02-19,20:00,Tottenham,RB Leipzig,0.0,1.0,1.1,2.1,-1.0,-1.0,60095.0,Tottenham Hotspur Stadium,Cüneyt Çakιr,UEFA
351,2019-2020,Round of 16,,2020-02-19,21:00,Atalanta,Valencia,4.0,1.0,1.8,2.5,-0.7,3.0,44236.0,Stadio Giuseppe Meazza,Michael Oliver,UEFA
352,2019-2020,Round of 16,,2020-02-25,20:00,Chelsea,Bayern Munich,0.0,3.0,1.1,3.4,-2.3,-3.0,36761.0,Stamford Bridge,Clément Turpin,UEFA
353,2019-2020,Round of 16,,2020-02-25,21:00,Napoli,Barcelona,1.0,1.0,0.7,1.6,-0.9000000000000001,0.0,44388.0,Stadio San Paolo,Felix Brych,UEFA
354,2019-2020,Round of 16,,2020-02-26,21:00,Real Madrid,Manchester City,1.0,2.0,1.2,3.2,-2.0,-1.0,75615.0,Estadio Santiago Bernabéu,Daniele Orsato,UEFA
355,2019-2020,Round of 16,,2020-02-26,21:00,Lyon,Juventus,1.0,0.0,1.1,1.1,0.0,1.0,57335.0,Groupama Stadium,Jesús Gil,UEFA
356,2019-2020,Round of 16,,2020-03-10,21:00,Valencia,Atalanta,3.0,4.0,2.2,2.7,-0.5,-1.0,,Estadio de Mestalla,Ovidiu Hațegan,UEFA
357,2019-2020,Round of 16,,2020-03-10,21:00,RB Leipzig,Tottenham,3.0,0.0,0.9,0.3,0.6000000000000001,3.0,42146.0,Red Bull Arena,Carlos del Cerro,UEFA
358,2019-2020,Round of 16,,2020-03-11,20:00,Liverpool,Atlético Madrid,2.0,3.0,3.4,1.1,2.3,-1.0,52267.0,Anfield,Danny Makkelie,UEFA
359,2019-2020,Round of 16,,2020-03-11,21:00,Paris S-G,Dortmund,2.0,0.0,1.2,0.5,0.7,2.0,,Parc des Princes,Anthony Taylor,UEFA
360,2019-2020,Round of 16,,2020-08-07,20:00,Manchester City,Real Madrid,2.0,1.0,2.1,0.8,1.3,1.0,,Etihad Stadium,Felix Brych,UEFA
361,2019-2020,Round of 16,,2020-08-07,21:00,Juventus,Lyon,2.0,1.0,2.6,1.0,1.6,1.0,,Allianz Stadium,Felix Zwayer,UEFA
362,2019-2020,Round of 16,,2020-08-08,21:00,Barcelona,Napoli,3.0,1.0,1.1,2.2,-1.1,2.0,,Camp Nou,Cüneyt Çakιr,UEFA
363,2019-2020,Round of 16,,2020-08-08,21:00,Bayern Munich,Chelsea,4.0,1.0,2.9,1.0,1.9,3.0,,Allianz Arena,Ovidiu Hațegan,UEFA
364,2019-2020,Quarter-finals,,2020-08-12,21:00,Atalanta,Paris S-G,1.0,2.0,0.5,2.8,-2.3,-1.0,,Estádio do Sport Lisboa e Benfica (Neutral Site),Anthony Taylor,UEFA
365,2019-2020,Quarter-finals,,2020-08-13,21:00,RB Leipzig,Atlético Madrid,2.0,1.0,0.9,1.1,-0.20000000000000007,1.0,,Estádio José Alvalade (Neutral Site),Szymon Marciniak,UEFA
366,2019-2020,Quarter-finals,,2020-08-14,20:00,Barcelona,Bayern Munich,2.0,8.0,1.1,5.3,-4.199999999999999,-6.0,,Estádio do Sport Lisboa e Benfica (Neutral Site),Damir Skomina,UEFA
367,2019-2020,Quarter-finals,,2020-08-15,20:00,Manchester City,Lyon,1.0,3.0,2.5,1.0,1.5,-2.0,,Estádio José Alvalade (Neutral Site),Danny Makkelie,UEFA
368,2019-2020,Semi-finals,,2020-08-18,20:00,RB Leipzig,Paris S-G,0.0,3.0,1.0,3.2,-2.2,-3.0,,Estádio do Sport Lisboa e Benfica,Björn Kuipers,UEFA
369,2019-2020,Semi-finals,,2020-08-19,20:00,Lyon,Bayern Munich,0.0,3.0,1.8,3.2,-1.4000000000000001,-3.0,,Estádio José Alvalade,Antonio Matéu Lahoz,UEFA
